study,study6,study8,study9,study10,study11,study12,condition,punonly,helponly,helpfirst,TG,q1correct,q2correct,q3correct,q4correct,q5correct,q6correct,q7correct,compscore,perfectcomp,compscoreTG,perfectcompTG,postqcorrect,crt,highcrt,help,punish,return,anger,bad,deservep,outrage,compassion,deserves,good,posemot,age,male,edu,income,NFC,FII
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,1,2,1,1,0,,0,,,0,,,,,40,1,5,7,1,5
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,0,1,1,0,3,0,2,0,,,,1,,50,,,,,0,78,22,33,31,1,4,2,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,1,3,1,,0,,0,,,0,,,,,32,1,2,5,2,3
8,0,1,0,0,0,0,Punishment Only,1,0,,0,0,1,0,1,,,,2,0,,,,,,,0,,11,0,11,7,,,,,57,0,2,3,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,1,0,1,1,50,,,,,,,,,48,0,5,3,3,4
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,1,1,0,1,4,1,2,0,,2,1,,0,50,11,56,22,30,,,,,32,0,5,1,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,,,,,30,1,4,5,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,1,0,,0,,,0,,,,,33,1,6,5,4,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,0,0,0,,,,,,,,,32,1,6,5,3,3
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,0,,,,,,,67,67,67,67,39,1,5,6,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,1,0,0,0,0,,20,,,20,,,,,22,0,2,1,2,3
10,0,0,0,1,0,0,Punishment Only,1,0,,0,0,0,0,0,,,,0,0,,,,,,,0,,,,,,,,,,24,0,4,6,1,4
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,0,0,1,0,0,1,2,0,1,0,,1,0,1,,60,,,,,44,67,44,52,29,1,2,5,,
8,0,1,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,0,,11,11,0,7,,,,,21,0,4,4,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,1,1,0,,0,,30,,,30,,,,,31,0,5,1,2,3
8,0,1,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,2,1,1,1,,0,44,44,30,89,100,100,96,32,1,5,5,,
8,0,1,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,0,0,1,0,,78,78,44,67,78,100,100,93,37,0,4,5,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,0,0,,20,,,20,,,,,28,0,5,8,2,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,0,0,,0,,,0,,,,,36,0,2,1,5,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,0,0,0,1,1,2,0,2,0,,1,0,,0,30,,,,,,,,,29,1,4,4,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,0,,100,,,100,,,,,57,0,5,7,5,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,0,100,,,,,,,,,60,0,4,6,2,4
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,0,0,,,,2,0,,,,,,1,,,,,,,78,44,100,74,20,0,2,3,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,2,1,,0,,0,,,0,,,,,25,0,4,5,3,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,0,1,,,,3,0,,,1,3,1,1,1,,100,,,100,,,,,33,1,2,6,3,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,0,0,1,0,,60,,,60,,,,,26,0,2,5,4,3
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,0,0,0,,1,,0,,,0,,,,,32,1,5,7,1,5
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,50,,,,,,,,,23,1,2,8,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,0,,0,,,0,,,,,65,1,4,4,3,2
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,0,0,,0,,,0,,,,,29,1,5,8,2,4
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,0,,,,,,,,,,31,0,4,9,4,2
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,0,,,,3,0,,,,,,1,,,,,,,67,67,89,74,39,0,4,6,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,0,1,0,,,,2,0,,,,0,0,1,1,,,,,,,,,,35,1,5,7,5,5
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,50,,,,,,,,,20,1,5,5,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,1,1,,60,,,60,,,,,22,0,5,2,1,5
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,50,,,,,,,,,48,0,5,8,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,40,,,,,,,,,22,1,5,7,4,3
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,0,4,1,2,0,,2,1,1,0,50,,,,,,,,,44,1,5,4,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,0,0,,,,2,0,,,1,0,0,,1,,100,,,100,,,,,35,0,2,3,5,5
